Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,Twitter Followers,Instagram Followers,Linkedin Followers,CEO Connections,CEO_Connections_Dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,Total Funding Amount (converted),Last Funding Amount (converted),Organization Age
TRONITY,2020-01-01,"Mannheim, Baden-Wurttemberg,",Mannheim,Baden-Wurttemberg,"Automotive, Electric Vehicle, Software",1-10,1,,Pre-Seed,2023-02-01,,1.0,134.0,"TRONITY creates digital twins for EVs, giving fleets and drivers transparency on vehicle costs, condition, battery health, and more.",Automotive,TRONITY Automotive startup website,935.0,,2000.0,500.0,1,,,,,1.09,historical,1.09,,,5
VYBE Beauty,2022-12-29,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,"Artificial Intelligence (AI), Beauty,,,,",1-10,1,,Pre-Seed,2023-02-01,,1.0,,Developing and marketing the next generation of beauty consumer technologies.,Artificial Intelligence (AI),VYBE Beauty Artificial Intelligence (AI) startup website,,,,,0,,,,,1.09,historical,1.09,,,2
F-One,2021-04-24,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"Artificial Intelligence (AI), Robotic Process Automation (RPA)",1-10,1,"€200,000",Pre-Seed,2023-02-01,"€200,000",,,AI Freelancer that can be hired like a person to perform office routines.,Artificial Intelligence (AI),F-One Artificial Intelligence (AI) startup website,,,,500.0,1,€,200000.0,€,200000.0,1.09,historical,1.09,200000.0,200000.0,3
FOMA,2022-02-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Debt Collections, Embedded Systems,,",11-50,3,,Seed,2023-02-06,,2.0,2.0,FOMA is a German platform eco-system for the B2B credit management sector.,Debt Collections,FOMA Debt Collections startup website,,,769.0,500.0,1,,,,,1.08,historical,1.08,,,2
Univents,2021-11-11,"Marbach Am Neckar, Baden-Wurttemberg,",Marbach Am Neckar,Baden-Wurttemberg,"Catering, Concerts, Event Management,,,,,,,",1-10,1,"€200,000",Pre-Seed,2023-02-12,"€200,000",,,Univents is a modern event technology SaaS that saves event managers half their time in event planning.,Catering,Univents Catering startup website,,,,,0,€,200000.0,€,200000.0,1.07,historical,1.07,200000.0,200000.0,3
Nefta,2021-12-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Blockchain, Gaming, Information Technology,",11-50,2,"$6,000,000",Seed,2023-02-15,"$5,000,000",6.0,9.0,Nefta’s disruptive ad-network and pre-mediation solutions deliver superior revenue performance while rebuilding publisher trust in AdTech.,Blockchain,Nefta Blockchain startup website,522.0,,1000.0,500.0,1,$,6000000.0,$,5000000.0,1.07,historical,1.07,6420000.0,5350000.0,3
Sovity,2021-10-01,"Dortmund, Nordrhein-Westfalen,",Dortmund,Nordrhein-Westfalen,"Big Data, Data Storage, SaaS, Software",11-50,2,,Seed,2023-02-15,,2.0,,Sovity is a IDS operating company.,Big Data,Sovity Big Data startup website,,,2000.0,500.0,1,,,,,1.07,historical,1.07,,,3
Knowunity,2020-01-01,"Sindelfingen, Baden-Wurttemberg,",Sindelfingen,Baden-Wurttemberg,"E-Learning, Education, Software",51-100,3,"€21,000,000",Series A,2023-02-15,"€9,000,000",13.0,3.0,"Knowunity is the digital learning platform with summaries, study notes, presentations, answers and more in one app.",E-Learning,Knowunity E-Learning startup website,,3880.0,13000.0,500.0,1,€,21000000.0,€,9000000.0,1.07,historical,1.07,21000000.0,9000000.0,5
cre[ai]tion,2022-01-01,"Frankfort, Hessen, Germany",Frankfort,Hessen,"Artificial Intelligence (AI), Fashion,,",1-10,1,,Pre-Seed,2023-02-15,,1.0,,creaitionis an interactive ai-based platform,Artificial Intelligence (AI),cre[ai]tion Artificial Intelligence (AI) startup website,,,1000.0,500.0,1,,,,,1.07,historical,1.07,,,3
Kern AI,2020-11-17,"Eichwalde, Brandenburg, Germany",Eichwalde,Brandenburg,"Artificial Intelligence (AI), Software",1-10,1,"€2,700,000",Pre-Seed,2023-02-16,"€2,700,000",11.0,6.0,Kern AI is a data-centric platform to build natural language interfaces.,Artificial Intelligence (AI),Kern AI Artificial Intelligence (AI) startup website,844.0,,2000.0,500.0,1,€,2700000.0,€,2700000.0,1.07,historical,1.07,2700000.0,2700000.0,4
networkx,2022-07-05,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"Artificial Intelligence (AI), Boating,,,,,",11-50,1,"$610,000",Seed,2023-02-17,"$610,000",,9.0,"networkx is an AI-based platform that prequalifies and matches innovators, visionaries, and changemakers with exclusive clubs worldwide.",Artificial Intelligence (AI),networkx Artificial Intelligence (AI) startup website,,2349.0,1000.0,500.0,1,$,610000.0,$,610000.0,1.07,historical,1.07,652700.0,652700.0,2
Phaseinvest,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Finance, Financial Services, FinTech,",1-10,1,"€20,000",Pre-Seed,2023-02-20,"€20,000",1.0,,Phaseinvest is the developer of a financial platform designed to offer portfolio analysis services.,Finance,Phaseinvest Finance startup website,,,162.0,425.0,0,€,20000.0,€,20000.0,1.07,historical,1.07,20000.0,20000.0,2
Green Fusion,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Energy Management, Software",11-50,3,"€2,925,000",Seed,2023-02-21,"€2,700,000",7.0,1.0,Green Fusion develops a simple and secure software solution for more efficient control of your energy system.,Energy Management,Green Fusion Energy Management startup website,,,4000.0,500.0,1,€,2925000.0,€,2700000.0,1.07,historical,1.07,2925000.0,2700000.0,4
eduBITES,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Corporate Training,",1-10,1,"€2,100,000",Seed,2023-02-21,"€2,100,000",4.0,1.0,eduBITES is an online learning platform for organization.,Artificial Intelligence (AI),eduBITES Artificial Intelligence (AI) startup website,,,1000.0,500.0,1,€,2100000.0,€,2100000.0,1.07,historical,1.07,2100000.0,2100000.0,4
READO,2020-06-01,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"Artificial Intelligence (AI), B2C,,,,,",11-50,2,"€640,000",Seed,2023-02-22,"€500,000",,,READO is the app to help readers find their next book.,Artificial Intelligence (AI),READO Artificial Intelligence (AI) startup website,,,853.0,500.0,1,€,640000.0,€,500000.0,1.07,historical,1.07,640000.0,500000.0,4
Konfetti,2021-04-28,"Berlin, Berlin, Germany",Berlin,Berlin,"E-Learning, Education, Events,,",11-50,2,"€2,000,000",Seed,2023-02-23,"€2,000,000",5.0,3.0,Konfetti is an online booking platform for workshops and events.,E-Learning,Konfetti E-Learning startup website,,,2000.0,500.0,1,€,2000000.0,€,2000000.0,1.06,historical,1.06,2000000.0,2000000.0,3
Spoke.ai (acq. by Salesforce),2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), B2B,,",11-50,3,"€2,770,000",Pre-Seed,2023-02-23,"€1,400,000",2.0,2.0,Spoke is the System of Intelligence for communication and tribal knowledge.,Artificial Intelligence (AI),Spoke.ai (acq. by Salesforce) Artificial Intelligence (AI) startup website,49.0,,2000.0,500.0,1,€,2770000.0,€,1400000.0,1.06,historical,1.06,2770000.0,1400000.0,4
Fanzone Media,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Blockchain, Cryptocurrency, Media and Entertainment,",11-50,3,"$75,000",Seed,2023-02-24,"$75,000",2.0,,Fanzone Media is a fan engagement platform with digital trading cards.,Blockchain,Fanzone Media Blockchain startup website,,,2000.0,500.0,1,$,75000.0,$,75000.0,1.06,historical,1.06,79500.0,79500.0,5
limbiq.com,2020-01-01,"Duisburg, Nordrhein-Westfalen,",Duisburg,Nordrhein-Westfalen,"E-Commerce, Logistics, SaaS,,",1-10,3,"€1,500,000",Pre-Seed,2023-02-24,"€1,000,000",9.0,,limbiq.com is AI-driven supply chain management SaaS platform to digitize collaboration across company borders,E-Commerce,limbiq.com E-Commerce startup website,,,761.0,500.0,1,€,1500000.0,€,1000000.0,1.06,historical,1.06,1500000.0,1000000.0,5
Mily Technologies,2021-01-01,"Munich, Bayern, Germany",Munich,Bayern,"B2B, Big Data, Delivery, Logistics,,",11-50,2,"€1,000,000",Pre-Seed,2023-02-27,"€1,000,000",2.0,,Delivery analytics made for parcel and postal operators,B2B,Mily Technologies B2B startup website,,,2000.0,500.0,1,€,1000000.0,€,1000000.0,1.06,historical,1.06,1000000.0,1000000.0,4
EINBLIQ.IO,2021-01-01,"München, Bayern, Germany",München,Bayern,"Analytics, Broadcasting, Cloud Data Services,,,,",1-10,5,"$352,195",Seed,2023-02-28,"$50,000",3.0,2.0,EINBLIQ.IO helps media companies to reliably deliver excellent video streaming services at lower cost while optimizing for energy efficiency,Analytics,EINBLIQ.IO Analytics startup website,,,464.0,164.0,0,$,352195.0,$,50000.0,1.06,historical,1.06,373326.7,53000.0,4
SynapCon,2021-06-01,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"Clinical Trials, Health Care, Information Technology,,,",11-50,1,,Seed,2023-03-01,,,,It is our mission to innovate the clinical trials world through disrupting outdated processes and organizational structures.,Clinical Trials,SynapCon Clinical Trials startup website,,,817.0,500.0,1,,,,,1.06,historical,1.06,,,3
Secfix,2021-04-01,"Berlin, Berlin, Germany",Berlin,Berlin,"B2B, Business Development, Cloud Security,,,,,",11-50,2,"$4,500,000",Seed,2023-03-01,"$3,800,000",3.0,8.0,"The fast and easy way to get ISO 27001, GDPR, TISAX and SOC 2 compliant | Compliance & Security Automation",B2B,Secfix B2B startup website,,,6000.0,500.0,1,$,4500000.0,$,3800000.0,1.06,historical,1.06,4770000.0,4028000.0,3
Tidely,2021-01-27,"Munich, Bayern, Germany",Munich,Bayern,"Finance, Financial Services, FinTech,,",11-50,2,"€4,700,000",Seed,2023-03-09,"€3,500,000",2.0,2.0,Tidely is a liquidity planning software with artificial intelligence,Finance,Tidely Finance startup website,,229.0,2000.0,500.0,1,€,4700000.0,€,3500000.0,1.05,historical,1.05,4700000.0,3500000.0,3
bliro,2022-04-05,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), Software,",1-10,1,,Pre-Seed,2023-03-10,,,,Bliro listens to business meetings and calls invisibly and extracts essential information with the help of AI.,Artificial Intelligence (AI),bliro Artificial Intelligence (AI) startup website,,,993.0,500.0,1,,,,,1.06,historical,1.06,,,2
wryte,2020-10-14,"Munich, Bayern, Germany",Munich,Bayern,"Apps, Education, Information Technology,,",11-50,3,"$1,038,855",Seed,2023-03-13,"$120,000",2.0,1.0,Wryte is a transcription app that connectsand masters all educational activities.,Apps,wryte Apps startup website,,,482.0,375.0,0,$,1038855.0,$,120000.0,1.07,historical,1.07,1111574.85,128400.0,4
aimpower,2020-01-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Artificial Intelligence (AI), Market Research,,",11-50,1,"€6,500,000",Series A,2023-03-13,"€6,500,000",1.0,2.0,"aimpower empowers brands to leverage the power of AI and automation to become better, faster and stronger.",Artificial Intelligence (AI),aimpower Artificial Intelligence (AI) startup website,,,2000.0,500.0,1,€,6500000.0,€,6500000.0,1.07,historical,1.07,6500000.0,6500000.0,5
amply,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Finance, Financial Services, FinTech,",11-50,1,"€170,000",Pre-Seed,2023-03-14,"€170,000",1.0,,Amply offers a workspace for small and medium-sized businesses (SMBs) to handle their various financial tasks in a single location.,Finance,amply Finance startup website,,,,,0,€,170000.0,€,170000.0,1.07,historical,1.07,170000.0,170000.0,2
oculai,2021-07-20,"Munich, Bayern, Germany",Munich,Bayern,"Computer Vision, Construction,,,,",11-50,2,"€2,500,000",Seed,2023-03-14,"€2,500,000",6.0,4.0,Oculai is a SaaS solution for camera-based data collection on construction sites using intelligent computer vision algorithms.,Computer Vision,oculai Computer Vision startup website,,,2000.0,500.0,1,€,2500000.0,€,2500000.0,1.07,historical,1.07,2500000.0,2500000.0,3
Chaineducation Labs,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Blockchain, Consulting, Continuing Education,,,",1-10,1,"€100,000",Seed,2023-03-15,"€100,000",,,Chaineducation Labs provides learning ecosystem that connects learners with industry experts and experience in blockchain technology.,Blockchain,Chaineducation Labs Blockchain startup website,39.0,35.0,222.0,500.0,1,€,100000.0,€,100000.0,1.07,historical,1.07,100000.0,100000.0,2
ClimateChoice,2020-04-01,"Berlin, Berlin, Germany",Berlin,Berlin,"B2B, Enterprise Software, Internet,,",11-50,2,"$2,000,000",Pre-Seed,2023-03-16,"$2,000,000",4.0,3.0,ClimateChoice provides the AI-first Climate Intelligence Platform to accelerate Scope 3 decarbonization.,B2B,ClimateChoice B2B startup website,362.0,886.0,17000.0,500.0,1,$,2000000.0,$,2000000.0,1.06,historical,1.06,2120000.0,2120000.0,4
Coqui,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Information Services, Information Technology,",11-50,1,"$3,300,000",Seed,2023-03-19,"$3,300,000",3.0,2.0,Coqui is a startup that provides open speech tech for everyone.,Information Services,Coqui Information Services startup website,,,2000.0,500.0,1,$,3300000.0,$,3300000.0,1.07,historical,1.07,3531000.0,3531000.0,4
Mainteny,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Facility Management, Software",11-50,2,"$3,034,021",Seed,2023-03-20,"€2,700,000",4.0,,Mainteny helps facility management companies increase profit and service quality by providing digital tools for their everyday work.,Facility Management,Mainteny Facility Management startup website,,,6000.0,500.0,1,$,3034021.0,€,2700000.0,1.07,historical,1.07,3246402.47,2700000.0,5
Lynty,2022-11-12,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Collaboration,,,",1-10,1,,Seed,2023-03-20,,,,Lynty provides a range of interactive product suites designed to manage customer interactions,Artificial Intelligence (AI),Lynty Artificial Intelligence (AI) startup website,,,29.0,314.0,0,,,,,1.07,historical,1.07,,,2
RAKETENSTART,2021-07-01,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,"Advice, Information Technology,,,,,,,",11-50,1,,Pre-Seed,2023-03-22,,5.0,1.0,RAKETENSTART is the all-in-one-legal solution for SMEs.,Advice,RAKETENSTART Advice startup website,,,4000.0,500.0,1,,,,,1.08,historical,1.08,,,3
Hubtic,2021-01-01,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,"Freight Service, Logistics, Shipping,,",11-50,1,"$1,300,000",Seed,2023-03-23,"$1,300,000",3.0,,"Digital forwarder, helping companies to deliver their goods easier, faster and smarter.",Freight Service,Hubtic Freight Service startup website,27.0,,3000.0,500.0,1,$,1300000.0,$,1300000.0,1.09,historical,1.09,1417000.0,1417000.0,4
Unikraft,2021-01-01,"Heidelberg, Baden-Wurttemberg,",Heidelberg,Baden-Wurttemberg,"Cloud Computing, Virtualization",11-50,1,,Pre-Seed,2023-03-23,,2.0,2.0,The lightweight virtualization company.,Cloud Computing,Unikraft Cloud Computing startup website,,,1000.0,500.0,1,,,,,1.09,historical,1.09,,,4
florada,2021-03-10,"Hanover, Niedersachsen, Germany",Hanover,Niedersachsen,"E-Commerce, Information Technology,,",1-10,2,"€685,000",Seed,2023-03-24,"€300,000",,,florada is a platform which digitalizes the floral industry by connecting consumers and florists.,E-Commerce,florada E-Commerce startup website,,865.0,312.0,500.0,1,€,685000.0,€,300000.0,1.08,historical,1.08,685000.0,300000.0,3
LI.FI,2021-08-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Blockchain, Finance, Financial Services,,,",11-50,2,"$23,000,000",Series A,2023-03-30,"$17,500,000",33.0,23.0,LI.FI builds a multi-chain DeFi middleware for the application layer.,Blockchain,LI.FI Blockchain startup website,,,,,0,$,23000000.0,$,17500000.0,1.08,historical,1.08,24840000.0,18900000.0,3
Compounder,2020-07-01,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,"EdTech, Education, Higher Education,,",1-10,1,,Pre-Seed,2023-03-31,,3.0,,Compounder is a platform through which students can apply to their desired universities with just one profile.,EdTech,Compounder EdTech startup website,,,935.0,500.0,1,,,,,1.09,historical,1.09,,,4
Fabrikatör - Virtual Head of Operations,2020-06-01,"Berlin, Berlin, Germany",Berlin,Berlin,"B2B, E-Commerce, Innovation Management,,,,",1-10,2,"€650,000",Pre-Seed,2023-04-04,"€600,000",9.0,,Equipping growing DTC brands with the modern retail and supply chain technology.,B2B,Fabrikatör - Virtual Head of Operations B2B startup website,,116.0,1000.0,500.0,1,€,650000.0,€,600000.0,1.09,historical,1.09,650000.0,600000.0,4
LOCCO,2022-01-01,"München, Bayern, Germany",München,Bayern,"Apps, Audio, Mobile Apps, Tourism",1-10,1,"$100,000",Pre-Seed,2023-04-11,"$100,000",1.0,,LOCCO is a platform that uses location-based technology to provide drivers with audio content access.,Apps,LOCCO Apps startup website,,2645.0,549.0,500.0,1,$,100000.0,$,100000.0,1.09,historical,1.09,109000.0,109000.0,3
Carré Mobility,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Ride Sharing, SaaS, Sharing Economy",1-10,1,"$20,000",Pre-Seed,2023-04-11,"$20,000",1.0,,"Carré Mobility offers shared mobility solutions for the housing industry, saving space and costs.",Ride Sharing,Carré Mobility Ride Sharing startup website,,365.0,905.0,500.0,1,$,20000.0,$,20000.0,1.09,historical,1.09,21800.0,21800.0,5
enverx,2022-04-14,"München, Bayern, Germany",München,Bayern,"Blockchain, Financial Services,,,,",11-50,1,"€1,000,000",Seed,2023-04-13,"€1,000,000",2.0,,"Multi-commodity financing, trading, and escrow management fintech solution, leveraging blockchain technology for trust & transparency.",Blockchain,enverx Blockchain startup website,,,5000.0,500.0,1,€,1000000.0,€,1000000.0,1.1,historical,1.1,1000000.0,1000000.0,2
AR Technology,2020-01-01,"Kühstein, Bayern, Germany",Kühstein,Bayern,"Construction, Industrial Manufacturing,,",1-10,1,,Seed,2023-04-17,,2.0,,AR-Technology has set the goal of establishing augmented reality (AR) as an industry standard.,Construction,AR Technology Construction startup website,446.0,305.0,5000.0,500.0,1,,,,,1.1,historical,1.1,,,5
Equipme,2021-01-01,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"Information Technology, Internet,",11-50,1,"$3,800,000",Seed,2023-04-17,"$3,800,000",6.0,,Equipme is developing the B2B subscription economy's operating system.,Information Technology,Equipme Information Technology startup website,,,893.0,500.0,1,$,3800000.0,$,3800000.0,1.1,historical,1.1,4180000.000000001,4180000.000000001,4
Tanso,2021-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Business Intelligence, Enterprise Software,,,",11-50,3,"$8,943,099",Seed,2023-04-18,"€4,000,000",5.0,2.0,Tanso enables industrial companies to achieve their sustainability targets.,Business Intelligence,Tanso Business Intelligence startup website,,215.0,6000.0,500.0,1,$,8943099.0,€,4000000.0,1.09,historical,1.09,9747977.91,4000000.0,4
ONINO,2021-12-21,"Karlsruhe, Baden-Wurttemberg,",Karlsruhe,Baden-Wurttemberg,"Blockchain, Data Storage, IT Infrastructure",1-10,1,,Pre-Seed,2023-04-20,,1.0,,ONINO is building a graph-based decentralized network and helps companies leverage the power of Blockchain & Tokenization.,Blockchain,ONINO Blockchain startup website,,,712.0,500.0,1,,,,,1.1,historical,1.1,,,3
GovRadar,2020-03-02,"Munich, Bayern, Germany",Munich,Bayern,"GovTech, SaaS, Software",11-50,2,"€1,705,000",Seed,2023-04-24,"€1,000,000",5.0,,SaaS platform to simplify and accelerate public procurement,GovTech,GovRadar GovTech startup website,,,3000.0,500.0,1,€,1705000.0,€,1000000.0,1.1,historical,1.1,1705000.0,1000000.0,4
bits&birds,2020-06-11,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Artificial Intelligence (AI), Human Resources,,",51-100,2,"€900,000",Seed,2023-04-25,"€850,000",1.0,,Bits&birds is an HR consulting for the digital and IT sector companies.,Artificial Intelligence (AI),bits&birds Artificial Intelligence (AI) startup website,7.0,,3000.0,5000.0,1,€,900000.0,€,850000.0,1.11,historical,1.11,900000.0,850000.0,4
Effinigo,2023-01-16,"Saarbrücken, Saarland, Germany",Saarbrücken,Saarland,"Commercial Real Estate, Facility Management,,,,,,",1-10,1,"€400,000",Pre-Seed,2023-05-01,"€400,000",1.0,,Effinigo optimizes the energy efficiency in non-residential buildings by providing easily retrofittable IoT solutions,Commercial Real Estate,Effinigo Commercial Real Estate startup website,,172.0,425.0,276.0,0,€,400000.0,€,400000.0,1.1,historical,1.1,400000.0,400000.0,2
CNDO,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,Web Development,1-10,1,"$1,000,000",Pre-Seed,2023-05-01,"$1,000,000",7.0,3.0,CNDO is on a mission to change the way people connect and interact online.,Web Development,CNDO Web Development startup website,10.0,,669.0,500.0,1,$,1000000.0,$,1000000.0,1.1,historical,1.1,1100000.0,1100000.0,2
Typst,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Higher Education, Publishing,",1-10,1,,Pre-Seed,2023-05-01,,1.0,,Write research papers and homework in the cloud. Focus on your text and let Typst take care of layout and formatting.,Higher Education,Typst Higher Education startup website,,292.0,1000.0,500.0,1,,,,,1.1,historical,1.1,,,3
Novaheal,2021-01-01,"Bochum, Nordrhein-Westfalen,",Bochum,Nordrhein-Westfalen,"E-Learning, Nursing and Residential Care,",11-50,3,"€565,000",Pre-Seed,2023-05-03,"€560,000",12.0,2.0,Novaheal is a learning platform for trainees and young professionals in nursing.,E-Learning,Novaheal E-Learning startup website,,1.85,1000.0,500.0,1,€,565000.0,€,560000.0,1.1,historical,1.1,565000.0,560000.0,4
sykell,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Packaging Services, Retail Technology,",11-50,3,"€4,500,000",Seed,2023-05-03,"€4,500,000",5.0,2.0,The reusable system for food retail and service,Packaging Services,sykell Packaging Services startup website,,,5000.0,500.0,1,€,4500000.0,€,4500000.0,1.1,historical,1.1,4500000.0,4500000.0,4
Kertos,2021-11-10,"München, Bayern, Germany",München,Bayern,"Artificial Intelligence (AI), Compliance,,,,",51-100,2,"€5,000,000",Seed,2023-05-04,"€4,000,000",14.0,6.0,Kertos is a software company based in Europe that develops and provides a holistic compliance and privacy platform.,Artificial Intelligence (AI),Kertos Artificial Intelligence (AI) startup website,,,3000.0,500.0,1,€,5000000.0,€,4000000.0,1.11,historical,1.11,5000000.0,4000000.0,3
Keaz,2023-03-07,"Berlin, Berlin, Germany",Berlin,Berlin,"Advertising, Marketing, Software",1-10,1,"$518,700",Pre-Seed,2023-05-05,"$518,700",,,One tool that empowers local businesses to master their online marketing.,Advertising,Keaz Advertising startup website,,480.0,269.0,500.0,1,$,518700.0,$,518700.0,1.1,historical,1.1,570570.0,570570.0,1
Rail-Flow,2020-01-01,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"Information Technology, Software,",51-100,1,"€3,600,000",Seed,2023-05-08,"€3,600,000",5.0,,Rail-Flow is a developer and operator of a digital ecosystem consisting of a platform and software service solutions.,Information Technology,Rail-Flow Information Technology startup website,,,6000.0,500.0,1,€,3600000.0,€,3600000.0,1.1,historical,1.1,3600000.0,3600000.0,5
Penzilla GmbH,2021-07-21,"Munich, Bayern, Germany",Munich,Bayern,"FinTech, Software",11-50,1,"€2,500,000",Seed,2023-05-08,"€2,500,000",3.0,,Penzilla GmbH offers a solution that helps everyone get the maximum benefit from corporate pension options.,FinTech,Penzilla GmbH FinTech startup website,,,1000.0,500.0,1,€,2500000.0,€,2500000.0,1.1,historical,1.1,2500000.0,2500000.0,3
Alpha Sophia,2022-07-07,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,"Hospital, Information Technology,,,,",1-10,1,"$1,000,000",Pre-Seed,2023-05-09,"$1,000,000",,13.0,SaaS Healthcare Commercial Intelligence,Hospital,Alpha Sophia Hospital startup website,154.0,54.0,2000.0,500.0,1,$,1000000.0,$,1000000.0,1.1,historical,1.1,1100000.0,1100000.0,2
Elixion Medical,2021-10-01,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,"Artificial Intelligence (AI), Health Care,,,",1-10,2,"€1,400,000",Pre-Seed,2023-05-09,"€1,400,000",3.0,3.0,"Reduce care shortage with medical IoT devices, SaaS & AI",Artificial Intelligence (AI),Elixion Medical Artificial Intelligence (AI) startup website,,,692.0,500.0,1,€,1400000.0,€,1400000.0,1.1,historical,1.1,1400000.0,1400000.0,3
Semorai,2022-11-24,"Heilbronn, Baden-Wurttemberg,",Heilbronn,Baden-Wurttemberg,"Artificial Intelligence (AI), Service Industry,",1-10,1,"€200,000",Pre-Seed,2023-05-09,"€200,000",2.0,,Semorai - more freedom for engineers,Artificial Intelligence (AI),Semorai Artificial Intelligence (AI) startup website,,,568.0,500.0,1,€,200000.0,€,200000.0,1.1,historical,1.1,200000.0,200000.0,2
Dermanostic,2020-01-01,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,"Apps, Health Care, Medical, Telehealth,",101-250,3,"$2,000,000",Seed,2023-05-09,,3.0,4.0,Dermanostic is an online dermatologist app that offers dermatological treatment available to everyone.,Apps,Dermanostic Apps startup website,,,,,0,$,2000000.0,,,1.1,historical,1.1,2200000.0,,5
CREX Capital,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Financial Services,,",1-10,2,"€100,000",Pre-Seed,2023-05-15,"€100,000",2.0,,CREX Capital is a Financial Service company that provides a regulatory-compliant process for commercial real estate financing transactions.,Artificial Intelligence (AI),CREX Capital Artificial Intelligence (AI) startup website,,,854.0,500.0,1,€,100000.0,€,100000.0,1.09,historical,1.09,100000.0,100000.0,3
Terramate,2023-05-15,"Berlin, Berlin, Germany",Berlin,Berlin,"Cloud Computing, Cloud Management,,,",11-50,1,,Pre-Seed,2023-05-15,,1.0,3.0,Terramate helps implement and maintain highly scalable Terraform projects.,Cloud Computing,Terramate Cloud Computing startup website,218.0,,3000.0,500.0,1,,,,,1.09,historical,1.09,,,1
Exazyme,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Biotechnology,,",1-10,2,"€2,430,000",Seed,2023-05-15,"€2,200,000",3.0,,Exazyme leverages advanced AI/ML tools to streamline protein design in the most efficient and effective way.,Artificial Intelligence (AI),Exazyme Artificial Intelligence (AI) startup website,,,3000.0,500.0,1,€,2430000.0,€,2200000.0,1.09,historical,1.09,2430000.0,2200000.0,3
PIONIX,2021-02-12,"Bruchsal, Baden-Wurttemberg,",Bruchsal,Baden-Wurttemberg,"Electric Vehicle, Energy, Software",11-50,3,"€5,700,000",Seed,2023-05-22,"€4,300,000",9.0,,open source software as a service for charging stations / e-mobility,Electric Vehicle,PIONIX Electric Vehicle startup website,,,5000.0,500.0,1,€,5700000.0,€,4300000.0,1.08,historical,1.08,5700000.0,4300000.0,3
Hema.to,2021-01-01,"München, Bayern, Germany",München,Bayern,"Artificial Intelligence (AI), Health Care,",1-10,1,"€3,600,000",Seed,2023-05-22,"€3,600,000",3.0,1.0,"Hema.to provides fully automated, AI-powered blood cancer detection suggestions based on flow cytometry data.",Artificial Intelligence (AI),Hema.to Artificial Intelligence (AI) startup website,,,3000.0,500.0,1,€,3600000.0,€,3600000.0,1.08,historical,1.08,3600000.0,3600000.0,4
